"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Enabled","Dedicated","FlushEarly","Native","InstrumentPropertyAccessors","Reference","CILabel","Common","Methods","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"195183.92","195213.5","6682.813820906426","185324","217053","193331.53851569333","197036.3014843067","commonmain-plain-jar","2947.0119","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8001.5276","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244615.82","232597","25794.064274233042","220463","320107","237466.07015703263","251765.56984296738","commonmain-plain-win-exe","90170.7334","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203521.24","198930.5","12431.273716998543","187557","241353","200075.46672592228","206967.0132740777","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4681.5088","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7663.4234","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228036.22","226111","9945.88440633017","218320","283329","225279.36149502348","230793.07850497653","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","37525.9732","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205513.46","199419","13518.456108579552","188556","232907","201766.33514166466","209260.58485833532","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4681.5088","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7663.4234","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249706.54","244760.5","17732.000115333976","217456","287370","244791.4803299831","254621.5996700169","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","37525.9732","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"211088.16","205326.5","16576.383875322168","192587","256523","206493.42080924968","215682.89919075032","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3120.7238","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
