"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","CILabel","JS","Common","Native","FlushEarly","InstrumentPropertyAccessors","Reference","Methods","Enabled","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"173540.4","158951","41895.780238051455","145636","384015","161927.4821987044","185153.31780129558","commonmain-plain-jar","1964.257","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6731.9825","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142467","141778","4844.995676163274","135889","157635","141124.03571540565","143809.96428459435","commonmain-plain-linux-exe","17774.0916","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159952.7","159574","7095.369209159289","141787","171651","157985.96399633505","161919.43600366497","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2948.4701","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3717.965","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139112.16","138258.5","3822.452302714922","132715","151435","138052.63027794735","140171.68972205266","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","22114.7582","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154047.88","154236","5053.26655573059","144506","172146","152647.1859729095","155448.5740270905","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2948.4701","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3717.965","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139063.82","138474.5","4193.010723349327","133062","157406","137901.57672410127","140226.06327589875","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","22114.7582","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154864.12","154088","5135.164566804385","144663","165478","153440.72500242307","156287.51499757692","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2687.6368","50","False","500","System.Boolean[]","True","ci-linux-large","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","False","2026-08-08 01:48:21","c92e12fc00da92a4e08394c77c6aa8be6daf4116","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.04","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
