"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Dedicated","Common","Enabled","JS","Methods","InstrumentPropertyAccessors","Reference","TestKIR","Native","CILabel","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"206384.08","206727.5","12312.427144862666","182474","237818","202971.24931501687","209796.9106849831","commonmain-plain-jar","6869.7126","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","14304.8391","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235185.72","232087","13755.305373564046","221402","296048","231372.94387487994","238998.49612512006","commonmain-plain-win-exe","123533.5984","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197407.6","196027","8171.598497234187","183686","217691","195142.548457473","199672.65154252702","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3914.6052","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5605.1432","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222734.38","219911.5","6226.200796862975","215493","237433","221008.56518863956","224460.19481136044","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","34013.8372","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188561.72","187555.5","5306.456002621249","182128","213999","187090.84543877956","190032.59456122044","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3914.6052","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5605.1432","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225762.64","219612","14612.363485872684","215196","276629","221712.2994864709","229812.98051352912","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","34013.8372","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200899.34","194941","13260.933623071576","185501","232096","197223.59673282245","204575.08326717754","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3139.0964","50","False","500","True","False","True","System.Boolean[]","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-09 01:06:01","93f0669f2de23e70612dbfcb7b00446290852e1d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.94","High performance","0.16","136","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
