"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","TestKIR","CILabel","Dedicated","InstrumentPropertyAccessors","Enabled","Reference","JS","FlushEarly","Native","Common","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157191.18","153065","23816.772218025395","144104","288297","150589.50755259427","163792.85244740572","commonmain-plain-jar","1961.8795","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6275.0046","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134386.12","134371","3662.0952385658306","127722","142248","133371.03898839597","135401.20101160402","commonmain-plain-linux-exe","16532.3575","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153081.1","153308","3968.713950181765","144690","160643","151981.02861766884","154181.17138233117","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2265.6273","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4072.444","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134837.56","134955.5","3436.68098167344","127499","143506","133884.96063264887","135790.15936735112","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16734.7841","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151762.9","151643.5","4374.240907907127","143884","163284","150550.4222798583","152975.3777201417","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2265.6273","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4072.444","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136130.54","135209.5","5219.328001197245","129524","159560","134683.8160886297","137577.2639113703","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16734.7841","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152333.46","151688","4336.743719682324","142767","165807","151131.37597015742","153535.54402984257","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2564.4215","50","False","500","System.String[]","System.Boolean[]","ci-linux-large","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","True","True","True","2026-08-09 01:53:57","0ea41568f1c4f3223419a54a02d087a765fc83fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","83","0.07","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
