"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","CILabel","Methods","Common","InstrumentPropertyAccessors","TestKIR","JS","FlushEarly","Native","Reference","Dedicated","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"195565.02","186217.5","24477.89698724053","178494","284813","188780.0931160455","202349.9468839545","commonmain-plain-jar","2676.3222","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8186.8246","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255824.62","247204.5","22429.53147889757","230068","307078","249607.4710674343","262041.7689325657","commonmain-plain-win-exe","90218.0208","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193521.98","189741","11782.154483153663","179883","231643","190256.13339784605","196787.82660215397","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4028.0172","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5305.7143","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240425.44","237647","11504.545503018378","229634","292788","237236.54268125584","243614.33731874416","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26182.8613","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189925.24","188239.5","6623.090882600335","181547","211276","188089.4128696034","191761.06713039658","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4028.0172","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5305.7143","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"256801.12","255652.5","18549.33768952412","231762","308977","251659.50591302157","261942.73408697842","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26182.8613","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203823.92","195860.5","20438.240411941693","183468","276304","198158.72879080448","209489.11120919554","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4053.4201","50","False","500","True","ci-windows-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","False","System.Boolean[]","2026-08-10 01:07:22","cd526ae8c0b36e5fa8b6cb0c746838fb7b73e9ef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.08","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
