"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JS","JVM","Enabled","Methods","FlushEarly","Common","Reference","InstrumentPropertyAccessors","Dedicated","CILabel","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"189846.38","178390.5","38368.30330634592","171107","336871","179211.22891938855","200481.53108061146","commonmain-plain-jar","2636.7238","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7644.1526","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232463.6","229970","8558.4847814962","222944","260323","230091.3090507343","234835.8909492657","commonmain-plain-win-exe","89895.2954","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198139.08","197508","15121.968962393485","173559","248644","193947.48405510522","202330.67594489476","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3852.141","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4684.7709","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238395.3","237566.5","6241.447226372409","228081","255723","236665.2590939911","240125.34090600887","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26198.0038","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179417.42","178975","4562.687160667762","172147","199173","178152.70764355754","180682.13235644248","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3852.141","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4684.7709","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245813.04","234010","27004.521214774086","225099","315990","238327.76861112422","253298.3113888758","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26198.0038","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196449.98","198028.5","13874.515531883979","175947","224761","192604.1605048369","200295.7994951631","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5243.5928","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","8981.541","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240566.82","234394.5","24655.087392136284","227783","400644","233732.7784415952","247400.8615584048","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22228.6078","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186155","185460","5363.545191420332","177013","207893","184668.30112298692","187641.69887701308","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5243.5928","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","8981.541","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236992.96","233678.5","9479.728774127474","227335","266796","234365.31324400203","239620.60675599796","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22228.6078","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191662.94","186924.5","12779.436941718006","178548","231994","188120.660803676","195205.219196324","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3620.4246","50","False","500","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","True","2026-08-11 01:06:32","9dc72061eba02d4987c03fabb93c6be9ca5a702b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.07","142","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
