"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Methods","JS","Native","Reference","FlushEarly","CILabel","Enabled","JVM","TestKIR","Common","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"143414.18","141175","8217.349874925538","134046","179901","141136.44682258263","145691.91317741736","commonmain-plain-jar","1929.1804","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6180.0967","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145789.2","144048","5024.45680280618","139969","162210","144396.4916289991","147181.90837100093","commonmain-plain-linux-exe","16052.6815","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142655.94","141959","4368.854271933061","134640","151882","141444.9553791737","143866.9246208263","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2066.4994","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3721.2863","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145863.66","144761","4548.472812148837","139391","161720","144602.88765995088","147124.43234004913","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35998.6491","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143616.38","142402","4710.197005672364","134896","157006","142310.7800005733","144921.97999942672","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2066.4994","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3721.2863","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144572.12","144452","2727.3965506485847","138234","150325","143816.1242463882","145328.11575361178","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35998.6491","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142418.02","141489","4694.77074483202","135309","157348","141116.6959419235","143719.34405807647","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2498.0002","50","False","500","False","System.String[]","True","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-11 01:54:04","067880fff7d79957a62662f145c472b8ea0f6e1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.68","145","83","0.02","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
