"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Reference","InstrumentPropertyAccessors","Dedicated","Native","JVM","CILabel","Common","TestKIR","FlushEarly","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"194073.34","203512.5","36423.12870747411","136865","285182","183977.36380997454","204169.31619002545","commonmain-plain-jar","2253.8039","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6493.3201","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180280.26","178000","5469.848767860526","174192","207747","178764.09527491895","181796.42472508107","commonmain-plain-win-exe","83526.0587","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"146367.18","140891.5","14073.948016205588","136569","194377","142466.08064051223","150268.27935948776","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3278.6575","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3958.451","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184468.82","180598.5","10707.999652539007","174391","214811","181500.7139264366","187436.9260735634","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20504.9285","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144036.24","142709","4754.9147830729535","138416","167810","142718.24486506658","145354.2351349334","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3278.6575","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3958.451","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181888.38","180504.5","4433.364562321599","176845","197152","180659.51403896802","183117.245961032","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20504.9285","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"145990.08","144491.5","5406.855673973892","139098","166388","144491.37606971012","147488.78393028985","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3188.2636","50","False","500","True","True","System.Boolean[]","False","True","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","2026-08-12 01:14:01","a2198bc40712f6d17d6f784bea7d64d9f5a6319e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.25","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.76","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
