"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Reference","Common","Dedicated","JS","InstrumentPropertyAccessors","Enabled","Native","FlushEarly","JVM","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"161620.48","156703.5","30957.252342241616","144326","371737","153039.56744122395","170201.39255877608","commonmain-plain-jar","1908.5851","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6494.2191","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137258.7","136833","2845.523604125022","132767","145063","136469.96109769077","138047.43890230925","commonmain-plain-linux-exe","17545.7475","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156971.6","156332","5277.080179842807","146920","168123","155508.86800142747","158434.33199857254","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2477.7189","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4436.7661","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137195.1","137024","3113.305679675872","131986","146381","136332.1356932619","138058.06430673812","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21569.9931","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156744.66","155763.5","4829.998912451814","146043","167469","155405.8526062256","158083.4673937744","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2477.7189","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4436.7661","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137417.72","137182.5","2639.8813983872496","131306","144543","136685.98220897547","138149.45779102453","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","21569.9931","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157538.32","157293.5","5416.914764788125","144813","170661","156036.82783198985","159039.81216801016","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2619.0015","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-12 02:06:39","4ce2149f5da914382fc61255a6d405a69546ceba","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.59","145","83","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
