"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Dedicated","Methods","InstrumentPropertyAccessors","Enabled","Reference","TestKIR","JS","CILabel","Native","JVM","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"207856.9","193612","46541.05266091126","183440","434635","194956.3783754845","220757.4216245155","commonmain-plain-jar","4045.4933","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","12928.7252","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225229.46","223595","7052.444966716964","216834","244896","223274.62198931508","227184.2980106849","commonmain-plain-win-exe","107552.4268","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187320.84","187573","3806.799884631796","180988","198566","186265.648906887","188376.03109311298","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3241.1774","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4477.7416","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221566.56","219840.5","6172.639703116471","215656","245675","219855.59156637717","223277.52843362282","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29226.1383","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205214.32","198602","16257.510826164535","186075","237178","200707.9679090453","209720.6720909547","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3241.1774","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4477.7416","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223576.7","222559","4144.662593047121","217110","236271","222427.85814209268","224725.54185790734","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","29226.1383","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192851.3","190600","7792.331744106129","183511","230023","190691.37583793505","195011.22416206493","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3001.0315","50","False","500","True","False","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","2026-08-13 01:16:27","b7844d29d6ad3b3c7473d3c472666573d52c4867","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.26","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.88","High performance","0.17","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
