"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Common","JVM","FlushEarly","Reference","Native","JS","Methods","CILabel","TestKIR","InstrumentPropertyAccessors","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144080.04","143564.5","5610.058422919624","135650","170949","142525.01114134994","145635.06885865008","commonmain-plain-jar","1875.458","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5868.9122","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145855.8","145166","3702.4268488963526","140287","164970","144829.5396363729","146882.06036362707","commonmain-plain-linux-exe","16927.2976","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142347.26","141185.5","5319.700965241545","131893","164271","140872.7141224485","143821.80587755152","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2116.1282","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3930.1878","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144832.48","144352.5","3221.9701302153626","138789","153225","143939.39544428056","145725.56455571947","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16431.1561","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143373.56","142868.5","4056.755762016375","136696","152590","142249.08467249575","144498.03532750424","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2116.1282","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3930.1878","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144914.3","144753.5","3252.229020539731","140793","156997","144012.82810779702","145815.77189220296","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16431.1561","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142638.62","142198.5","4815.698380657721","133405","157654","141303.77651140402","143973.46348859597","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1663.7264","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
