"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Methods","CILabel","Enabled","Reference","Dedicated","Common","JVM","FlushEarly","InstrumentPropertyAccessors","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"212379.6","188225.5","51337.51781761044","181247","391123","198149.56606457793","226609.63393542208","commonmain-plain-jar","3048.8241","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8940.9855","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223879.06","220950.5","7300.3617953677685","216699","255356","221855.50295039706","225902.61704960294","commonmain-plain-win-exe","109868.4401","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188039.06","187777.5","5090.963235950138","181022","211984","186627.91698625058","189450.20301374941","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3964.3453","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5030.4511","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221723.14","220027.5","5141.6006243192405","216343","235935","220297.96101829724","223148.3189817028","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","30648.2892","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188941.12","187714","5046.806715748331","181530","215999","187542.21654919896","190340.02345080103","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3964.3453","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5030.4511","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222494.92","220763","5838.4594272175345","216107","242564","220876.58161295415","224113.25838704588","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","30648.2892","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188045.66","187216","6638.447509095814","179782","224735","186205.57622990882","189885.74377009118","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3972.7626","50","False","500","True","System.String[]","ci-windows-large","System.Boolean[]","True","False","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-08-14 01:14:20","0107ffa5382a1f787748fb5bd09b9804f8a2efca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","24.46","High performance","2.55","135","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
