"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","JS","CILabel","Methods","Common","InstrumentPropertyAccessors","Enabled","TestKIR","Dedicated","FlushEarly","Native","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"168782.28","155588","30626.917140186288","146614","255426","160292.93168770763","177271.62831229236","commonmain-plain-jar","2270.3688","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6396.5783","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138687.16","138733","3199.947629418396","133199","147620","137800.17977006422","139574.1402299358","commonmain-plain-linux-exe","17450.6393","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155144.34","154552","4503.872662906165","144632","165702","153895.93019059565","156392.74980940434","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2521.5529","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4036.5916","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138204.72","138141.5","2454.764264337695","132686","143520","137524.29406064918","138885.14593935083","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19132.0268","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154465","154089","3780.916042766485","147845","163184","153416.98354180861","155513.01645819139","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2521.5529","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4036.5916","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138441.92","138536.5","2377.5264614935495","133994","144849","137782.90328731798","139100.93671268204","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19132.0268","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154566.92","154529","4749.230291406843","145350","167955","153250.50052576765","155883.33947423237","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2327.7244","50","False","500","True","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","True","2026-08-14 02:06:39","0806afbf34ebe88745902be8190cd22b66825d9f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","83","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
