"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Methods","TestKIR","JS","Enabled","JVM","FlushEarly","Dedicated","CILabel","InstrumentPropertyAccessors","Native","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144167.62","139612.5","16978.936204856047","134223","247717","139461.2989963073","148873.9410036927","commonmain-plain-jar","2052.6836","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6152.6657","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181489.7","177955","8916.793732008366","174759","223304","179018.09087677684","183961.30912322318","commonmain-plain-win-exe","86804.4978","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143216.88","141123","6789.670289371005","136603","172369","141334.87941377505","145098.88058622496","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2436.648","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3865.2492","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184105.36","181662.5","8480.24131048649","175497","211988","181754.7570343966","186455.96296560336","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20063.7077","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143356.78","141432.5","7090.935741163231","137450","184141","141391.27289096644","145322.28710903355","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2436.648","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3865.2492","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181256.04","179805.5","5020.054707239103","175358","201175","179864.55182763684","182647.52817236318","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20063.7077","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"149680.4","143551","16978.85001033548","135712","218942","144974.10288820945","154386.69711179053","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2900.3928","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","False","ci-windows-large","System.Boolean[]","True","True","2026-08-15 00:47:42","55c32ea119190939bd2725b007a0b7559efba7b2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.15","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.49","High performance","0.09","148","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
