"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Dedicated","Enabled","TestKIR","Methods","FlushEarly","CILabel","JVM","Reference","Native","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"143591.68","141239","7381.117675556199","131520","171758","141545.7385624403","145637.6214375597","commonmain-plain-jar","1970.8544","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5944.7124","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144629.66","144069","3459.9798018167094","140117","156703","143670.60252919185","145588.71747080816","commonmain-plain-linux-exe","15785.595","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144414.6","144303.5","5621.384076788875","135124","162769","142856.4318302622","145972.7681697378","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2361.0698","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3682.3672","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145082.38","144822","3627.0372791138548","139653","160693","144077.0165589743","146087.7434410257","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35254.1765","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142516.14","142686","4609.341743300297","131609","151088","141238.49565303043","143793.7843469696","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2361.0698","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3682.3672","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145314.98","144108.5","5087.974263067047","139176","166712","143904.66548726443","146725.2945127356","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","35254.1765","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142146.88","142329.5","3935.948899618511","132034","153492","141055.890626329","143237.869373671","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2174.5636","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3276.8077","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145533.12","144581","3429.4544734266583","139641","159084","144582.52371853922","146483.71628146077","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15245.2869","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142291.66","141874","4485.784833885635","135373","153587","141048.26388100616","143535.05611899385","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2174.5636","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3276.8077","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144704.4","143447.5","4223.718672990831","139971","166239","143533.64491472553","145875.15508527445","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15245.2869","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142753.32","141527","4695.83744216783","136002","156392","141451.70026850703","144054.93973149298","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1708.8069","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3076.4824","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145527.82","145380.5","3476.2577092063134","140365","160789","144564.25052346193","146491.38947653808","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14222.2544","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141826.7","141094.5","4210.548920780485","134748","152912","140659.5953837946","142993.80461620542","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1708.8069","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3076.4824","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145460.64","144441","4377.6115459628145","139673","163117","144247.2279866561","146674.05201334393","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14222.2544","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141777.26","140863","5251.999859373298","134705","163613","140321.47991158138","143233.04008841864","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1507.2347","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2932.9099","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145604.34","145074.5","3042.529047435668","140805","156396","144760.99397481166","146447.68602518833","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13971.9094","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142698.58","142092","4156.755254831757","133810","154013","141546.38622725764","143850.77377274234","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1507.2347","50","False","500","True","False","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","2026-08-15 01:20:22","3f637f262d13310145b2a57473b35ff4c8ab8735","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.8","145","83","0.02","160","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
