"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Common","Enabled","Dedicated","JS","Reference","Methods","InstrumentPropertyAccessors","FlushEarly","CILabel","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"193835.88","189518.5","10472.104639333149","180324","221834","190933.1606881231","196738.5993118769","commonmain-plain-jar","3007.1002","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8598.9734","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239969.82","236416","10849.768444232777","227881","268239","236962.41762224145","242977.22237775856","commonmain-plain-win-exe","101388.9661","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195422.98","193755.5","8993.267975388193","181355","228939","192930.1732979935","197915.78670200653","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3311.1514","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4758.5898","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259909.94","257872.5","26672.947907150254","223520","317193","252516.57604296246","267303.3039570375","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20649.2747","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214184.16","215934.5","16538.36573294758","186471","246097","209599.95890067192","218768.3610993281","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3311.1514","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4758.5898","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242930.72","239316","10272.425232869693","231221","293274","240083.34899577356","245778.09100422644","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","20649.2747","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210120.12","203521.5","18913.105261653025","191462","291520","204877.67468634655","215362.56531365344","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2719.1943","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
