"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","FlushEarly","Reference","InstrumentPropertyAccessors","CILabel","JVM","Enabled","Dedicated","TestKIR","JS","Native","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"206406.94","195482","61890.39480434053","182441","625677","189251.79780026694","223562.08219973306","commonmain-plain-jar","2627.0932","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7584.5859","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253281.56","246631","23692.1125100782","224014","311798","246714.4414607277","259848.67853927228","commonmain-plain-win-exe","95388.5977","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179124.2","177952.5","4623.257739132546","171899","195143","177842.6983357826","180405.70166421743","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4569.8861","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7655.1546","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236526.96","231142.5","12503.090093089724","226033","288945","233061.28024208083","239992.63975791915","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","33413.1742","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198197.66","195406","13764.520288030084","181122","238425","194382.3296309052","202012.9903690948","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4569.8861","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7655.1546","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233237.78","230531.5","8159.89917727329","224841","259617","230975.97134351698","235499.588656483","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","33413.1742","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182157.86","180434","12102.822342473237","173271","260765","178803.12880205532","185512.59119794465","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5276.1886","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.Boolean[]","False","System.Boolean[]","True","True","True","2026-08-17 00:46:59","eaf5158276c0da5b3754aa9061d651e9b1c7df3b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.33","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.11","138","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
