"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","InstrumentPropertyAccessors","Native","Enabled","Methods","Dedicated","FlushEarly","JS","Common","CILabel","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"206639.68","179414","57331.3133239291","172572","477414","190748.25071313308","222531.1092868669","commonmain-plain-jar","2622.4767","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7793.0578","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235865.92","230727","13218.309010441171","222724","278097","232201.99167265595","239529.84832734408","commonmain-plain-win-exe","97537.4312","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200133.22","197803.5","12693.835574942408","178805","242774","196614.66829199094","203651.77170800907","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3342.6113","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5132.4004","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238874.16","235836.5","10950.197367264247","229390","283049","235838.92014502035","241909.39985497965","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28233.9078","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185757.1","183917.5","6565.219377872444","178327","211306","183937.3140323082","187576.8859676918","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3342.6113","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5132.4004","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244395.1","236446","22341.732238077668","226057","305494","238202.28777535248","250587.91222464753","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28233.9078","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183478.76","181966.5","6113.962379835259","175451","199371","181784.05609058923","185173.46390941078","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3463.2578","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","ci-windows-large","True","2026-08-18 00:46:28","e923d88f06d8b4be967a596ae66a650c3ea56cbf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
