"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","FlushEarly","Dedicated","Enabled","Methods","InstrumentPropertyAccessors","JVM","TestKIR","JS","Reference","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153801.38","151904","7582.247343038896","143262","182159","151699.68826294458","155903.07173705543","commonmain-plain-jar","1932.3386","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6078.9887","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136636.28","136434","2701.0344128855218","129350","145067","135887.59145816872","137384.96854183127","commonmain-plain-linux-exe","17900.1557","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151129","150663.5","4390.130308139951","144876","162587","149912.1179628181","152345.8820371819","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2305.9561","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3216.7832","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138586.58","138473","5064.312891686093","132236","164640","137182.8240847974","139990.33591520257","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19244.9364","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152680","152499","3792.1769904015046","146680","163832","151628.862166374","153731.137833626","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2305.9561","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3216.7832","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136632.44","136359","2324.214531880412","132627","142855","135988.20060028142","137276.6793997186","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19244.9364","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152074.58","152251.5","4667.1101056614625","144263","160559","150780.92307993106","153368.2369200689","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1762.5171","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2918.4049","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137019.64","136603.5","2739.154887991579","130597","144659","136260.38500156053","137778.8949984395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14452.4797","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151556.3","152075.5","5063.034639947284","141831","163003","150152.89839810267","152959.7016018973","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1762.5171","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2918.4049","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136750.02","136545","2780.226928706007","131830","145538","135979.380412706","137520.65958729398","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14452.4797","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151957.06","151395","4699.022878932884","143352","163169","150654.55731048348","153259.56268951652","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1371.9344","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2867.6513","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137352.46","137423","2574.130677192847","131169","141604","136638.94737905866","138065.97262094132","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13957.5516","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153298.04","153327","5614.462098138037","144405","165420","151741.79050485516","154854.28949514485","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1371.9344","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2867.6513","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137345.66","136648.5","3237.1446829524543","131819","148995","136448.36927285691","138242.9507271431","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13957.5516","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-linux-large","2026-08-18 01:20:19","439f61be8ac4550f336ab3eb844ba90cc9e1bc18","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.75","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
