"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Native","Reference","TestKIR","FlushEarly","JS","JVM","Dedicated","Enabled","CILabel","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"206570.06","188843.5","43172.33495806105","182439","351397","194603.2992830672","218536.8207169328","commonmain-plain-jar","3184.5063","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7949.1766","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232718.26","225827.5","16402.007587188957","217024","274274","228171.85545033","237264.66454967","commonmain-plain-win-exe","107716.3346","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229229.54","228700.5","11476.76762466733","211438","288511","226048.34231630625","232410.73768369376","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4398.8813","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6687.8367","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"282702.36","269444","29388.151584290303","241343","355922","274556.37998145836","290848.3400185416","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31682.5866","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239616.32","240934","10085.782975160671","215161","259634","236820.6835901577","242411.9564098423","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4398.8813","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6687.8367","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246692.62","245069","17751.59741577745","220385","286333","241772.1282354408","251613.1117645592","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","31682.5866","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224184","222196.5","7215.2613003725","209768","239646","222184.0316041377","226183.9683958623","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5985.6814","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","True","True","False","System.Boolean[]","ci-windows-large","System.Boolean[]","2026-08-19 00:46:46","e2cee0b662ee49a87cb644339e789972cd78c97d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.37","High performance","0.46","133","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
