"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Methods","Native","FlushEarly","JVM","JS","Dedicated","Common","Reference","TestKIR","CILabel","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155349.5","154114","8942.280559345072","144054","193963","152870.82628866806","157828.17371133194","commonmain-plain-jar","2028.6088","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6443.7908","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135608.86","135171","2704.32279055408","130533","145765","134859.2599663825","136358.46003361748","commonmain-plain-linux-exe","17638.3854","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153888.4","153162","5293.631159907428","141639","163308","152421.08030381377","155355.71969618622","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2662.362","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4004.0978","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137067.02","136787","3720.388083169249","129778","145727","136035.78103623618","138098.2589637638","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38617.0398","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153054.06","151773.5","4802.102963689716","146423","169082","151722.98496872425","154385.13503127574","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2662.362","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4004.0978","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136170.82","135853.5","3761.7528843422374","129796","150333","135128.11529832275","137213.52470167726","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","38617.0398","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153010.12","152896","4058.7181279868378","143727","159945","151885.10073240008","154135.1392675999","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2322.5665","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
