"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","TestKIR","FlushEarly","Native","InstrumentPropertyAccessors","Dedicated","Reference","Common","CILabel","Enabled","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"109987.32","110169","6574.136331698263","99358","128477","108165.06237880923","111809.57762119078","commonmain-plain-jar","1737.5657","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5156.0501","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114417.58","114274.5","2836.332686007459","109768","128861","113631.38869021705","115203.77130978295","commonmain-plain-linux-exe","13475.6709","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110555.26","109943.5","4228.70812911278","102187","122474","109383.1219080483","111727.39809195169","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2551.9177","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3153.3696","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114596.24","114120.5","3454.7483948670897","109622","128385","113638.63260121689","115553.84739878312","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18507.8332","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110491.38","109878.5","4781.129854897036","101201","122964","109166.1184178846","111816.64158211541","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2551.9177","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3153.3696","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113183.6","113379.5","1971.4366977058191","108882","116560","112637.14562700992","113730.0543729901","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18507.8332","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110126.4","111169.5","3759.0000135728674","102508","117396","109084.45835516954","111168.34164483045","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1442.0826","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","True","2026-08-20 01:20:57","74cd9de3429e7c10dcb595cf3b08dfd5cc717ead","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.93","145","83","0.02","162","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
