"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","InstrumentPropertyAccessors","JS","Methods","JVM","CILabel","Common","Enabled","Reference","TestKIR","Native","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"195687.46","185916.5","37871.933675141096","179894","381659","185189.89556161093","206185.02443838905","commonmain-plain-jar","2935.8939","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8385.164","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226349.92","223193","7031.232945093148","218534","248196","224400.96166173357","228298.87833826646","commonmain-plain-win-exe","96596.0594","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189143.7","187699","5609.564286073548","182914","218215","187588.8081090957","190698.59189090432","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3489.8555","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4730.3299","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227589.38","222739.5","12526.501252471231","218741","287885","224117.21099977565","231061.54900022436","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24644.6391","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187763.78","187705","4043.6479099941434","180071","199616","186642.93798370802","188884.62201629198","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3489.8555","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4730.3299","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228021.3","223464","15118.174672849083","217301","293136","223830.75577850893","232211.84422149105","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24644.6391","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189068.56","187365.5","6781.084887496143","182715","221062","187188.93916576196","190948.18083423804","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3968.8402","50","False","500","False","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","2026-08-21 00:51:22","e1643ced25efa0f3b2e96382dce10cf3956df07f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.32","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.11","138","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
