"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Dedicated","JS","Native","InstrumentPropertyAccessors","Reference","Enabled","JVM","FlushEarly","Common","Methods","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"146494.9","143288","17810.260576592427","132424","260230","141558.14763686407","151431.65236313592","commonmain-plain-jar","1878.617","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5880.2848","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145713.8","144467","4473.361959923407","140306","165052","144473.84732598698","146953.752674013","commonmain-plain-linux-exe","16019.6295","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141836.56","141052","4387.960426030317","134077","152524","140620.27942345288","143052.8405765471","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2671.499","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3782.5766","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144671.8","144317","3696.9614163912656","138912","161078","143647.05457697238","145696.5454230276","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34533.2706","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140234.28","139378","4233.895639638151","132812","151402","139060.70400349126","141407.85599650873","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2671.499","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3782.5766","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144770.04","144674","2961.3961404054276","139927","153959","143949.18286927714","145590.89713072288","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34533.2706","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141137.04","140195.5","5577.294644304509","131361","164035","139591.09279744406","142682.98720255596","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2288.735","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
