"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","CILabel","Methods","Enabled","Common","Reference","Native","JVM","Dedicated","InstrumentPropertyAccessors","TestKIR","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"216271.56","210019.5","16665.153103578567","196534","270292","211652.21523453144","220890.90476546856","commonmain-plain-jar","2216.5194","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5975.7687","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"174130.16","172883","5726.660943841034","167837","192121","172542.81057151713","175717.50942848288","commonmain-plain-win-exe","103256.5518","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205527.2","204757.5","4690.870499258782","198449","218624","204226.95703484004","206827.44296515998","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2464.9281","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3310.7523","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178703.86","174955","10026.21782110914","166574","197845","175924.7342085038","181482.98579149618","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","18800.0246","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201787.74","200633","5352.052163384792","191423","215772","200304.22682782653","203271.25317217346","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2464.9281","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3310.7523","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"174026.46","168851","13929.910743242177","164054","223457","170165.285735635","177887.63426436498","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","18800.0246","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203882.34","201532.5","8754.700672303574","192869","229537","201455.66078064343","206309.01921935656","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2511.3348","50","False","500","System.Boolean[]","ci-windows-large","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","System.Boolean[]","True","2026-08-22 00:47:56","9d99296b9e5f07afaac9dace2d4bb796cd9accc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.98","High performance","0.22","146","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
