"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JS","Native","Dedicated","Enabled","InstrumentPropertyAccessors","JVM","Methods","Common","FlushEarly","TestKIR","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"156297.26","154307.5","9207.948608896644","143951","188235","153744.94686235013","158849.5731376499","commonmain-plain-jar","1926.7831","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6377.1769","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138619.28","138439","3111.3520457596987","133505","149990","137756.8572129556","139481.7027870444","commonmain-plain-linux-exe","17599.8033","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154679.78","153802.5","5354.478077387607","146393","169080","153195.59439877167","156163.96560122832","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2834.4887","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4045.8247","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138747.94","138282.5","3515.3141143939247","133028","151132","137773.54464027082","139722.3353597292","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","22024.7051","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154243.52","152705.5","5281.492763008797","147422","169106","152779.5648957756","155707.47510422437","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2834.4887","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4045.8247","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138383","138553","2570.715623387101","132347","144857","137670.4339836787","139095.5660163213","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","22024.7051","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154328.26","153899.5","4406.657883989931","147188","165545","153106.79675252174","155549.72324747828","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2686.3139","50","False","500","ci-linux-large","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-22 01:20:16","8957f5b0ac6976c3a45c377a9c31d584c55c64c9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","82","0.04","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
