"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","Methods","JVM","FlushEarly","Reference","JS","InstrumentPropertyAccessors","Dedicated","Enabled","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"152772.76","151041","8747.79332771927","142801","194507","150347.9953988801","155197.52460111992","commonmain-plain-jar","2160.3243","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6123.2713","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135440.88","136187.5","3187.6525982840317","129167","143602","134557.3077788211","136324.45222117892","commonmain-plain-linux-exe","17185.6494","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152910.34","152493","4715.518772118725","143419","163948","151603.26488217356","154217.41511782643","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2459.1026","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4077.9686","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134830.78","134536","3432.7957564810476","129094","146565","133879.25756212822","135782.30243787178","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37356.1596","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153470.9","152658","5080.053178453782","143503","166084","152062.781099901","154879.01890009898","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2459.1026","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4077.9686","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134606.22","133839","3807.1583290492376","128571","143007","133550.92955116354","135661.51044883646","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37356.1596","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151746.28","150630.5","5693.7532940110095","143046","172202","150168.0521066774","153324.5078933226","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2401.2031","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3751.544","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136215.84","135706","4367.783206289301","128585","153513","135005.1522634234","137426.5277365766","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15663.3676","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152980.34","152353.5","4265.138773778859","142398","164456","151798.10384854084","154162.57615145916","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2401.2031","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3751.544","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134784.22","134034","3603.757621071174","127330","145417","133785.30935096805","135783.13064903195","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15663.3676","50","False","500","True","True","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-23 01:27:23","0db17bd9313d206cbe5a07214f1327d23d89de68","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.42","145","82","0.02","162","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
