"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Dedicated","JVM","TestKIR","FlushEarly","Enabled","CILabel","JS","Methods","Common","InstrumentPropertyAccessors","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"230231.04","197925","117657.39854217692","182476","893283","197618.07300855094","262844.0069914491","commonmain-plain-jar","2867.9131","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8450.8137","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224043.72","221703.5","7986.6319254011405","216187","267280","221829.9385754295","226257.5014245705","commonmain-plain-win-exe","98335.0138","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188959.72","187617.5","4665.822932161669","182384","206591","187666.4198662223","190253.0201337777","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4398.276","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","20062.5792","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235349.74","229541","14695.82136889703","223277","292097","231276.26614153912","239423.21385846086","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","43283.4397","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194542.72","191088","11321.336857744787","181692","237392","191404.60552683024","197680.83447316976","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4398.276","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","20062.5792","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221849.38","219748.5","5851.55385918465","216429","250875","220227.41202159136","223471.34797840865","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","43283.4397","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194560.36","190822","13189.350394425754","183724","239568","190904.45859148918","198216.2614085108","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2776.9935","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","2026-08-24 00:48:11","809768b2c7e51c237640130d4e9f3c67433b73bf","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.2","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.91","High performance","0.14","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
