"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Common","Enabled","Dedicated","Methods","Reference","JS","JVM","TestKIR","FlushEarly","InstrumentPropertyAccessors","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"110479.08","109700","3987.9225569210853","103706","122381","109373.68426352448","111584.47573647552","commonmain-plain-jar","1622.6794","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4847.3731","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113273.1","112839.5","2420.8951308749165","109058","121282","112602.06210547542","113944.1378945246","commonmain-plain-linux-exe","12303.0843","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109387.9","108929.5","3184.715918192993","102342","119190","108505.14178501244","110270.65821498755","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1755.2148","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2844.019","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113458.7","113029.5","2616.9896496796873","109112","120197","112733.30747798725","114184.09252201274","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","27645.1704","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109152.96","109237","3551.2166869329476","102759","116826","108168.6129548891","110137.30704511091","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1755.2148","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2844.019","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114544.88","113833.5","4675.297828077319","109560","141613","113248.95355906633","115840.80644093368","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","27645.1704","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108864.48","109064","3830.8321749527295","98490","118786","107802.6274958693","109926.3325041307","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2203.3251","50","False","500","ci-linux-large","True","System.Boolean[]","False","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","2026-08-24 01:24:54","517acdc214824c9c97429f65b810169890ec42cb","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","82","0.09","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
