"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","JVM","Methods","Native","Dedicated","InstrumentPropertyAccessors","JS","TestKIR","Enabled","Common","CILabel","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"212030.6","201406","30951.18275277892","185950","375024","203451.36984558825","220609.83015441176","commonmain-plain-jar","3673.6257","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8145.7891","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226362.66","223356.5","7493.5959859341365","219293","254117","224285.54116544648","228439.77883455352","commonmain-plain-win-exe","152355.0084","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190898","188983","5653.116370098669","183744","209954","189331.0360873077","192464.9639126923","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","9717.9367","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","10636.8698","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226280.34","224140","7337.404183179973","217868","246830","224246.5153243406","228314.16467565938","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28164.268","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191798.18","187894.5","14317.592601611288","182998","285176","187829.54580700464","195766.81419299534","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","9717.9367","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","10636.8698","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222825.56","222157.5","4197.019730567812","217531","239227","221662.20548399477","223988.91451600523","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28164.268","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190276.6","189420.5","4522.535468210779","184353","201535","189023.01712489044","191530.18287510957","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2992.8491","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5097.1366","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223345.52","221043","5517.682381846455","217496","238587","221816.09647357423","224874.94352642575","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21026.9127","50","False","500","True","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-25 00:45:38","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.87","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.04","High performance","0.05","143","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
