"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","FlushEarly","Dedicated","JVM","Reference","Methods","Native","CILabel","JS","Enabled","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144096.32","141902","8669.402237802578","135043","174635","141693.28430041586","146499.35569958415","commonmain-plain-jar","2000.8811","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5751.128","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144060.6","143642","2929.449136765811","139484","151925","143248.59812689872","144872.6018731013","commonmain-plain-linux-exe","16415.1426","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143673.7","143138","5659.678512720218","134031","160167","142104.91715417334","145242.4828458267","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2805.2224","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3666.0629","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145333.8","144734.5","3502.8863783445554","139610","155630","144362.84943295346","146304.75056704652","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18358.4289","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141304.78","140555.5","4355.949406998035","133708","151976","140097.372425236","142512.187574764","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2805.2224","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3666.0629","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144801.76","143838.5","4552.711210893562","139521","165899","143539.81283575733","146063.7071642427","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","18358.4289","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141129.26","141464","3894.8441524452214","133660","150562","140049.66428095137","142208.85571904865","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1870.4296","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","2026-08-25 01:21:48","c8fb9387fbef9a7132506d49211ba846902a22e4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.77","145","83","0.05","159","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
