"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Reference","Enabled","CILabel","Dedicated","Methods","JS","TestKIR","Common","FlushEarly","InstrumentPropertyAccessors","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"213032.8","212678.5","13075.456416117791","187502","274285","209408.46839161313","216657.13160838684","commonmain-plain-jar","3696.2374","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8292.5043","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246409.4","243956","15510.77769336732","219751","292818","242110.03177332482","250708.76822667517","commonmain-plain-win-exe","143663.3343","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192845.54","192346.5","5935.744339652296","183751","208421","191200.23561100854","194490.84438899148","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","5161.5522","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","8254.9992","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234055.78","232042","11834.445612305304","225074","309129","230775.43903633457","237336.12096366542","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","45986.2141","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202202.9","197723","13007.144963128407","188476","249170","198597.50336033662","205808.29663966337","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","5161.5522","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","8254.9992","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226982.72","225800.5","5154.476045899825","218722","242538","225553.9721335164","228411.4678664836","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","45986.2141","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208877.76","200333.5","18309.332197900094","187062","253895","203802.6720411961","213952.8479588039","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5304.8103","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5221.8989","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233273.6","230608.5","10290.738935408606","220737","267542","230421.15269641805","236126.04730358196","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28559.3378","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205709.88","201902.5","13991.173405065505","189113","244751","201831.72459214035","209588.03540785966","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5304.8103","50","False","500","True","True","System.Boolean[]","ci-windows-large","False","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-08-26 00:47:12","ecd857fc58c69c8d137f8e09fa369fcaa7969363","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.7","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","31.86","High performance","0.05","145","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
