"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","TestKIR","JVM","Common","Enabled","Reference","Methods","JS","Dedicated","InstrumentPropertyAccessors","Native","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153634.24","151835.5","7972.2100885718355","143759","189679","151424.45610464818","155844.0238953518","commonmain-plain-jar","2078.1828","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5903.9981","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136347.08","136073.5","2585.001021118497","131406","141852","135630.55427344842","137063.60572655156","commonmain-plain-linux-exe","17693.7542","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150567.3","149979","4072.5308946348214","142735","158200","149438.4520288223","151696.14797117768","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2197.2597","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4056.273","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135625.28","135840","2893.5214619235585","128510","143320","134823.2367702839","136427.3232297161","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16580.0641","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151430.08","150834","4740.173491356963","144104","164422","150116.17094266223","152743.98905733775","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2197.2597","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4056.273","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136525.66","136078","4682.116273695919","129315","162134","135227.84358236578","137823.47641763423","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16580.0641","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152244.26","150883","4868.527493136766","144465","164301","150894.77302852226","153593.74697147775","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2463.179","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4259.6057","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135505.28","135050","2988.361868096613","129503","144987","134676.9483509044","136333.6116490956","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16147.8196","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151802.32","150987.5","4642.902973136439","142030","166330","150515.37295473518","153089.26704526483","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2463.179","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4259.6057","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136038.68","135581","3225.0988938483792","129187","143720","135144.72819524774","136932.63180475225","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16147.8196","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152946.86","153287.5","4705.097014810164","142055","164649","151642.67364591736","154251.04635408262","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2201.8293","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","False","System.Boolean[]","True","System.Boolean[]","2026-08-26 01:25:08","3f7f10a44b781ce62d15501154e442d11c93f0b3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.97","145","83","0.02","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
