"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Enabled","JVM","TestKIR","CILabel","Native","Reference","FlushEarly","JS","Dedicated","Methods","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"186657.42","185305","7212.009488403097","176225","215723","184658.35296042924","188656.48703957078","commonmain-plain-jar","2964.4645","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8179.8511","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242383.02","227424","32029.20972505936","216020","338973","233504.97601408683","251261.06398591315","commonmain-plain-win-exe","101605.397","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188462.16","187001.5","7457.990604139199","181431","220473","186394.91047375675","190529.40952624325","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3830.5055","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5073.4588","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222622.18","220463","6845.714794568309","214400","243171","220724.64466950312","224519.71533049687","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24729.3433","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188114.24","186936.5","4812.536704593662","180550","209099","186780.27288329726","189448.20711670272","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3830.5055","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5073.4588","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231856.6","221243","26118.351313720756","214883","306696","224616.96237568095","239096.23762431907","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24729.3433","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188116.66","186487.5","5874.76362220087","181709","218845","186488.2586035105","189745.0613964895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3419.2894","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5459.1554","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222193.98","218844","11004.990742589918","214502","283725","219143.55219625565","225244.40780374437","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","41590.3523","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187661.58","185781","6397.13017956378","180791","210061","185888.38598099974","189434.77401900024","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3419.2894","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5459.1554","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222792.84","220059.5","12136.807222894919","215433","299848","219428.68867380897","226156.99132619103","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","41590.3523","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186219.78","184510","5182.044948528663","179136","210253","184783.3904235809","187656.1695764191","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2541.9437","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3787.0906","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
