"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","FlushEarly","Enabled","CILabel","Common","JS","JVM","InstrumentPropertyAccessors","Native","Dedicated","TestKIR","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144468.76","142488","8106.138479156725","135414","184214","142221.85304876324","146715.66695123678","commonmain-plain-jar","1997.0056","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6020.2751","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144984.94","144479.5","3011.705411577044","139417","152178","144150.13785077076","145819.74214922925","commonmain-plain-linux-exe","16064.0991","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144275.48","142696","7328.3610363561975","133195","168921","142244.16195675405","146306.79804324597","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2327.2181","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3938.9208","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144899.34","144922","2615.588072245603","139513","151460","144174.3359754312","145624.3440245688","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16704.6724","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142156.72","140821.5","5243.5543446118645","134667","159733","140703.28088883866","143610.15911116134","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2327.2181","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3938.9208","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"147129.26","145650","9411.467930375675","139518","202398","144520.53418456056","149737.98581543946","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16704.6724","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144618.82","143635.5","5687.605832843546","136916","162854","143042.29609597704","146195.34390402297","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1800.2289","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
