"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Methods","InstrumentPropertyAccessors","Reference","TestKIR","Native","JS","FlushEarly","JVM","Common","Enabled","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"211248.02","191311.5","41501.50977459761","183417","320178","199744.38839548966","222751.65160451032","commonmain-plain-jar","4567.0871","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","12870.7496","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238782.8","233315","18636.91548666632","218240","288633","233616.91058615924","243948.68941384074","commonmain-plain-win-exe","117270.1529","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219668.8","218052","9953.373611238452","203391","244583","216909.86559333352","222427.73440666645","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3813.7878","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5108.9706","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236081.26","230667","16345.197792936126","219888","286864","231550.60232190555","240611.91767809447","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","34351.7947","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204086.14","199877.5","12391.037448964176","190852","235784","200651.5196504092","207520.76034959083","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3813.7878","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5108.9706","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250087.76","245043.5","16933.16121813005","226991","290794","245394.1271752882","254781.39282471183","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","34351.7947","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215811.16","220759","16478.38545855802","185256","252255","211243.58458450515","220378.73541549486","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4313.5521","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
