"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Reference","JS","Methods","Dedicated","Enabled","Native","CILabel","JVM","FlushEarly","InstrumentPropertyAccessors","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155522.34","153291.5","9010.704775738144","144839","186260","153024.70006352378","158019.97993647621","commonmain-plain-jar","1892.3309","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6146.7926","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137752.3","137568.5","4397.497434186115","132353","155618","136533.37589966232","138971.22410033765","commonmain-plain-linux-exe","16434.1891","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153464.52","153357","4945.79278323444","144542","165301","152093.61618277553","154835.42381722445","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2184.8375","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3906.494","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137527.2","137465.5","2992.998707869103","130467","143689","136697.58308449262","138356.8169155074","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36106.4945","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152331.76","153131","4999.429014581239","142110","161724","150945.98897795772","153717.5310220423","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2184.8375","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3906.494","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137901.88","137550.5","2456.2996114530674","133480","144483","137221.02848414134","138582.73151585867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36106.4945","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154741.04","154200.5","6103.60202770897","142526","172339","153049.20783368486","156432.87216631515","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2441.8114","50","False","500","True","True","True","System.String[]","False","System.Boolean[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-08-28 10:13:30","856876098e481a9259ed981ad6f7d31a0fa75836","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.66","145","83","0.02","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
