"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JS","Dedicated","FlushEarly","JVM","Reference","CILabel","Methods","Enabled","Common","TestKIR","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"258553.78","275756","63740.31954201327","184049","496956","240885.86482420325","276221.69517579675","commonmain-plain-jar","2723.3005","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7944.9192","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238986.66","229948.5","22931.406000674164","218869","293050","232630.39854739432","245342.9214526057","commonmain-plain-win-exe","103021.7319","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190398.28","189082.5","4080.233181811939","183445","202707","189267.2970637408","191529.26293625918","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4223.5376","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5032.9858","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237451.18","234099","12455.472715187308","220350","272682","233998.69910584114","240903.66089415885","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","30251.7059","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209472.92","207251.5","9102.063737372075","197603","238644","206949.95665133672","211995.8833486633","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4223.5376","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5032.9858","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231383.36","229932.5","7712.548880564846","221421","263155","229245.55051943738","233521.1694805626","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","30251.7059","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201322.94","196710","13381.583702390448","184535","236939","197613.75423704155","205032.12576295846","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4212.8525","50","False","500","System.Boolean[]","True","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-08-29 04:57:57","6e5ceaff0f0e8e27103c12de9cb230a108916c40","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
