"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","JS","Common","Methods","JVM","CILabel","Native","Enabled","Reference","FlushEarly","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"109932.6","108598","5560.141820243841","102442","126747","108391.4073177023","111473.79268229772","commonmain-plain-jar","1501.3934","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4756.8061","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114023.96","112881.5","4216.670797040272","110090","133775","112855.15848626957","115192.76151373044","commonmain-plain-linux-exe","12400.6876","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109027.08","108812","3055.412159244173","103233","117746","108180.16295840841","109873.99704159159","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1633.3061","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3206.8536","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114114.86","113278","5664.693618928258","109234","150030","112544.68703765498","115685.03296234502","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","13420.798","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109452.26","108428.5","3858.1323641347085","103460","120617","108382.84026950118","110521.67973049881","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1633.3061","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3206.8536","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114100.24","113382","3279.5361889593287","109172","126503","113191.19894688296","115009.28105311705","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","13420.798","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109609.08","109047","3500.5146842562845","104407","121978","108638.78683301476","110579.37316698524","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1253.9788","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
