"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","InstrumentPropertyAccessors","Enabled","Methods","JVM","JS","Native","FlushEarly","Common","Reference","TestKIR","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"241389.98","227111","45324.135393890014","190269","373770","228826.77063253277","253953.18936746725","commonmain-plain-jar","2234.9212","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5761.2037","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"166489.58","164548","6291.984833622107","160613","196545","164745.53078395297","168233.629216047","commonmain-plain-win-exe","96111.2131","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196164","193922.5","9647.549362085563","186587","230930","193489.83575030105","198838.16424969895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2654.3296","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3461.3063","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"168826.76","168534.5","3068.232992509945","163510","177579","167976.2892047365","169677.23079526352","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","19470.0548","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210864.64","203351","21197.277046693656","188624","285998","204989.05456977646","216740.22543022357","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2654.3296","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3461.3063","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"171886.96","167152.5","10402.79862846964","160997","194662","169003.45133422446","174770.46866577552","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","19470.0548","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204885.08","200467.5","10333.64208833439","192336","230094","202020.74054915374","207749.41945084624","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4153.115","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5663.6355","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"165679.54","165464","2599.43426505987","162596","177200","164959.0135823396","166400.06641766042","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22580.7737","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202815.56","196379","14544.975477434937","187936","242073","198783.89848942377","206847.22151057623","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4153.115","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5663.6355","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"174047.96","171198.5","12005.910314847568","160567","211965","170720.09144560507","177375.82855439492","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22580.7737","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198002.38","194739.5","11733.704634278545","186745","236971","194749.96301078735","201254.79698921266","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2736.2655","50","False","500","ci-windows-large","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","True","True","System.Boolean[]","False","2026-08-30 02:43:26","1f985b5099d49937ed48cf2b530d9604c7cfec7e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) 6973P-C","2","4","2600","15.99","12.66","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.82","High performance","0.09","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
