"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","CILabel","JS","Reference","Enabled","TestKIR","Native","InstrumentPropertyAccessors","Common","JVM","Methods","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"179370.94","177286","6729.881408452658","172770","203289","177505.51204604472","181236.36795395528","commonmain-plain-jar","2978.5055","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8063.9944","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232115.36","229188.5","8780.475487473468","223114","259000","229681.53636637997","234549.18363362","commonmain-plain-win-exe","93407.5682","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179662.82","178532.5","5077.216490703286","171686","197356","178255.48738962965","181070.15261037037","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3971.3373","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5494.907","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244117.16","233677.5","27294.913831626553","223868","342848","236551.3958843997","251682.9241156003","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26909.9997","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180805.32","179787","5389.697017117616","174663","201699","179311.37220673685","182299.26779326316","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3971.3373","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5494.907","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247417.42","237465.5","21367.98053648859","225785","332486","241494.51797645562","253340.3220235444","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26909.9997","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184406.26","183208","6395.510203866076","178156","211952","182633.51501535383","186179.0049846462","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5508.5071","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6822.8632","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237174.96","234450","9476.419027787028","228529","284469","234548.23065888192","239801.68934111806","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","40171.3226","50","False","500","False","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","2026-08-31 02:36:37","fae0c0053dbf7d8ed4f7c764e3cc99ba9ab2fe95","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.7","High performance","0.07","141","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
