"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Enabled","Reference","JS","FlushEarly","JVM","TestKIR","Common","Methods","InstrumentPropertyAccessors","CILabel","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"165686.78","159896.5","16299.488483635407","145444","207294","161168.79229603295","170204.76770396705","commonmain-plain-jar","2055.3702","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6360.3433","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137971.7","137151","4045.117663080181","132798","155958","136850.4505889375","139092.94941106252","commonmain-plain-linux-exe","17630.1981","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154465.58","154641","4377.733474187346","145983","166901","153252.1341898765","155679.02581012348","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2480.5575","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4483.1133","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137649.68","137011.5","2816.938346966835","132746","147579","136868.86452672872","138430.49547327126","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17148.3189","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154542.66","154968","4734.586004831135","143095","167090","153230.29971491022","155855.0202850898","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2480.5575","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4483.1133","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138451.88","138020.5","3701.4776566189053","132737","155105","137425.88273904898","139477.87726095103","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17148.3189","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154299.3","153381","4948.115036897116","146057","164704","152927.752486901","155670.84751309897","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2511.9405","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","False","2026-08-31 04:25:58","e9b2d451a09f84f9842760361450448da61474d4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.04","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
