"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Reference","InstrumentPropertyAccessors","Native","CILabel","Common","Dedicated","JVM","TestKIR","Methods","Enabled","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"210757.06","203486","38975.96296380001","177586","362290","199953.47425572833","221560.64574427166","commonmain-plain-jar","2740.4106","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7574.8026","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252564.1","244207","25773.75876324046","224870","353109","245419.97855752383","259708.22144247618","commonmain-plain-win-exe","102233.2783","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181691.74","180785","3887.0237016965843","176429","196958","180614.3119993038","182769.16800069617","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3671.41","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4231.8852","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232176.16","229070.5","7998.601832820535","223275","261932","229959.06068636858","234393.25931363142","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26984.3766","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198953.96","192820.5","18856.28936917011","177881","279663","193727.26324826526","204180.65675173473","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3671.41","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4231.8852","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235613.9","233315.5","10322.182294278986","227120","296614","232752.73704200407","238475.06295799592","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26984.3766","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184498.66","183326.5","4287.639875078987","178660","194308","183310.18686146595","185687.13313853406","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3066.3964","50","False","500","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","False","True","System.Boolean[]","System.String[]","System.Boolean[]","True","2026-09-01 02:50:06","6ab646c4d348dda504dbe396fdff8e08ecc18835","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.45","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.53","High performance","0.13","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
