"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","CILabel","JVM","Native","JS","Reference","Enabled","Methods","InstrumentPropertyAccessors","Dedicated","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"111820.56","110907.5","4770.061597000994","103864","125748","110498.36638244856","113142.75361755144","commonmain-plain-jar","1676.6784","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5055.9819","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"116765.78","113623.5","8985.375781246106","110059","153860","114275.16090260002","119256.39909739998","commonmain-plain-linux-exe","14089.9971","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111683.76","111240","4506.388646699488","103143","123471","110434.65279546863","112932.86720453136","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1759.0259","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2998.5548","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113604.68","113172","2257.8237710734843","107916","117893","112978.8431802939","114230.51681970608","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14562.5834","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109740.46","109460","3744.607018480998","102405","119918","108702.50788986652","110778.41211013349","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1759.0259","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2998.5548","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113681.86","113484.5","2270.434005170979","109531","119372","113052.52780173317","114311.19219826683","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","14562.5834","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110681.6","110081.5","3978.890800210531","103336","118146","109578.7077387596","111784.49226124042","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5356.3363","50","False","500","True","System.Boolean[]","ci-linux-large","True","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","False","System.Boolean[]","2026-09-01 04:09:47","56ab5affa46afe3d28da4fbf01c9722d01876742","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.18","145","82","0.03","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
