"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JVM","Reference","Dedicated","Native","FlushEarly","Methods","CILabel","Enabled","Common","TestKIR","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"209778.66","205622","26414.334572009204","182216","368719","202456.980002212","217100.33999778802","commonmain-plain-jar","3943.9305","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","10885.5875","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226071.04","224356","5282.144075958519","217702","236471","224606.90436103666","227535.17563896335","commonmain-plain-win-exe","103030.2793","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190740.2","189711","6907.820356786405","183270","225822","188825.44988593916","192654.95011406086","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3204.0589","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4677.9376","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223079.7","220408.5","5582.948260149847","216164","242520","221532.1856950839","224627.21430491612","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27431.5195","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208714.72","206960","17614.518590790558","183747","252212","203832.22454718928","213597.21545281072","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3204.0589","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4677.9376","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232813.48","227024","23301.80735850894","219192","337028","226354.54852913515","239272.41147086487","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27431.5195","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196203.12","193958","8574.282628742245","186246","226046","193826.4501108873","198579.7898891127","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4223.3528","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
