"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JS","TestKIR","Reference","Methods","CILabel","JVM","Dedicated","Enabled","Common","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"130150.96","128334","8777.50968346178","119619","163902","127717.95844531029","132583.9615546897","commonmain-plain-jar","1947.5784","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5572.231","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113671.16","113338","2328.136877594685","109787","122960","113025.83338151836","114316.48661848165","commonmain-plain-linux-exe","14631.1779","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126897.7","126459.5","4071.663067181893","119107","136691","125769.09257831963","128026.30742168037","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2158.7824","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3277.8621","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111746.76","111503","2399.7442853566795","108098","120894","111081.58482074256","112411.93517925743","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15801.2202","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126960.26","126394","3865.248798972608","118419","135229","125888.86769440313","128031.65230559686","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2158.7824","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3277.8621","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111907.78","111872","2064.563394966775","108413","116873","111335.51222350595","112480.04777649404","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","15801.2202","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126919.1","126709.5","3772.428835157337","119911","136122","125873.4360757337","127964.76392426631","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2267.3924","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3039.5392","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-linux-large","True","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-09-03 03:32:37","3559bef62d5f9800028161c97701b37f98a70b1d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.99","145","83","0.16","146","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
