"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Methods","TestKIR","Enabled","JS","InstrumentPropertyAccessors","Dedicated","Native","Common","JVM","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"241509.86","227571","56872.87865629336","183973","375175","225745.50231992183","257274.21768007815","commonmain-plain-jar","2745.6201","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8443.1478","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228198.78","224810.5","8904.088123887766","219794","263557","225730.69269166802","230666.86730833197","commonmain-plain-win-exe","100383.0666","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189357.86","187747.5","6043.842013663365","182273","220679","187682.59246446562","191033.12753553435","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3837.6613","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5330.1729","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234407.02","229712","13785.299874585424","219748","267026","230585.9298233723","238228.11017662767","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26668.1642","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196393.94","195353","6623.498848518549","187172","228463","194557.99978722024","198229.88021277977","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3837.6613","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5330.1729","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229860.96","225832","12401.769245012207","219280","270218","226423.3649483113","233298.5550516887","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","26668.1642","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196157.24","193944","9069.481848620073","188039","237606","193643.30789013303","198671.17210986695","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3966.2718","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","ci-windows-large","True","2026-09-04 02:14:11","dd4b1cf9266b6c22f3fc7e43835de8480440271b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.43","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.43","High performance","0.2","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
