"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","InstrumentPropertyAccessors","Dedicated","Methods","FlushEarly","JVM","Reference","TestKIR","CILabel","JS","Enabled","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155786.04","154262","7674.238237700182","145006","185788","153658.849687859","157913.230312141","commonmain-plain-jar","2104.0411","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6551.1475","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138301.28","137505.5","5187.591470705723","132783","168451","136863.3530060711","139739.2069939289","commonmain-plain-linux-exe","17021.0044","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155029.9","155436","4572.84872695258","140187","164106","153762.37100108596","156297.42899891402","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2091.2549","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4589.5718","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138410.7","137830","3494.3630014230466","133628","150181","137442.11199250043","139379.2880074996","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20510.8145","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154798.34","154064.5","5489.430406532473","144150","171170","153276.74752159818","156319.9324784018","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2091.2549","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4589.5718","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139204.5","138663","4565.2386854470205","132013","160563","137939.0803969718","140469.9196030282","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20510.8145","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154425.18","153939.5","4698.351168402874","144709","167769","153122.86349914322","155727.49650085677","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2280.9343","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3588.3212","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137323.68","137234.5","2867.972521713924","132319","143456","136528.71857520263","138118.64142479736","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20069.6002","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157006.44","156887","5034.289675529494","146211","170240","155611.00609573445","158401.87390426555","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2280.9343","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3588.3212","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137449","136770.5","3173.813118991998","131745","144997","136569.26388676604","138328.73611323396","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20069.6002","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155066.9","155178.5","5208.8272417785065","146273","169069","153623.0867506412","156510.71324935879","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2817.666","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3633.6074","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138543.46","137829","2712.3368733794623","132950","145579","137791.63857595666","139295.28142404332","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18033.0166","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155613.44","155635.5","5199.33904025408","145698","168821","154172.25674592378","157054.62325407623","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2817.666","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3633.6074","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138977.48","138834.5","3209.093293268047","133228","147923","138087.964721381","139866.99527861903","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18033.0166","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156307.8","155952.5","4529.627984003696","147848","168215","155052.25117981338","157563.3488201866","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1849.1087","50","False","500","True","System.Boolean[]","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","True","2026-09-04 03:31:14","99bace2a87895da084d8d1158c296a6d2143178e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.88","145","82","0.12","154","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
