"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","InstrumentPropertyAccessors","Common","FlushEarly","TestKIR","CILabel","Methods","Native","Dedicated","Reference","JS","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144391.16","143661","4455.901925971615","136467","155359","143156.04700048256","145626.27299951744","commonmain-plain-jar","1988.5752","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6154.8595","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146926.04","145105","6427.719197351421","140308","173987","145144.36713785204","148707.71286214798","commonmain-plain-linux-exe","16653.4742","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145147.02","143403","5778.4301501006175","136360","161719","143545.3208796504","146748.7191203496","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2202.8603","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4157.0029","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144865.46","144764","2630.3826850471623","140748","156926","144136.35511798467","145594.56488201531","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16053.9518","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143330.16","142458.5","6181.21618493464","133979","172948","141616.81428690386","145043.50571309615","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2202.8603","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4157.0029","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145490.92","145233","3294.5167856018343","140049","159495","144577.72653734588","146404.11346265415","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16053.9518","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142913.28","142525","4711.232353360099","131405","151256","141607.3930168359","144219.1669831641","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1669.4987","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3212.6745","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144395.66","143886.5","2681.547509425504","139873","152285","143652.37295222844","145138.94704777157","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14693.9982","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142353.38","142242","4336.56270301063","133600","154464","141151.34614541894","143555.41385458107","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1669.4987","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3212.6745","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145482.8","144798","3083.1697709880805","141574","159582","144628.18894097488","146337.4110590251","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14693.9982","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143689.68","142906","5218.151292931086","135839","157441","142243.28225552035","145136.07774447964","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1748.5291","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2928.1439","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144640.36","144066","3435.965074066394","139539","159707","143687.95907211333","145592.76092788664","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14448.9391","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144020.06","143752.5","5940.951924720207","134571","172925","142373.31214207222","145666.80785792778","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1748.5291","50","False","500","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","True","False","True","True","System.Boolean[]","2026-09-05 03:32:14","9de7a7677cac258fb6dfcb2a12a5672a68198d65","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.07","163","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
