"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","TestKIR","Native","Methods","Dedicated","Reference","Common","JVM","FlushEarly","InstrumentPropertyAccessors","JS","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"198110.9","182385","42141.05965476583","174105","343105","186429.99421307747","209791.80578692252","commonmain-plain-jar","2675.8838","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7699.9666","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243584.88","237611.5","19808.03723048","226240","322114","238094.37220051413","249075.38779948588","commonmain-plain-win-exe","99152.9007","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203138.26","199595.5","13629.028272980957","185337","236400","199360.48610137927","206916.03389862075","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4505.8507","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7197.2449","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234378.48","230820.5","10749.59855584555","223173","278914","231398.84329872238","237358.11670127764","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","51314.8212","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188259.96","185269.5","9957.25154677305","179479","229182","185499.95068444422","191019.96931555576","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4505.8507","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7197.2449","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230386.5","228011","6575.499615533222","222784","247744","228563.86449580942","232209.13550419058","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","51314.8212","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202496.04","194267.5","18218.279279798488","175240","236611","197446.19062244403","207545.88937755598","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4236.9623","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
