"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Native","Dedicated","JS","Reference","TestKIR","Common","Methods","FlushEarly","CILabel","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"110599.36","109360","5327.566740826357","103308","123452","109122.6338406924","112076.0861593076","commonmain-plain-jar","1445.4271","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4823.8787","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114183.34","113691.5","4081.4974273405783","109210","134802","113052.00663275894","115314.67336724105","commonmain-plain-linux-exe","13707.9061","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110197.72","109597.5","4016.5794618133996","103528","118615","109084.38097474784","111311.05902525217","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1744.9527","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2937.5355","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113323.12","113301.5","1987.1439318062207","109369","118455","112772.31180384544","113873.92819615455","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","27866.2089","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109474.46","109664","4318.575455836693","100994","117540","108277.41195596395","110671.50804403606","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1744.9527","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2937.5355","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113855.68","113455.5","3414.78673813443","108810","129101","112909.14940733442","114802.21059266556","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","27866.2089","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109410.54","108750","3912.71003849073","101974","121488","108325.99210999487","110495.08789000512","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1717.7949","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3153.0592","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113811.62","113167","2910.1993542065966","109504","124433","113004.95389439803","114618.28610560196","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","12166.3416","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
