"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","InstrumentPropertyAccessors","Reference","Methods","Native","TestKIR","JVM","Common","Dedicated","CILabel","FlushEarly","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"186348.6","184288","6760.783244686421","178721","213029","184474.60649404753","188222.59350595248","commonmain-plain-jar","2769.1688","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8163.7292","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225514.98","221856.5","14703.676547720981","217171","304305","221439.3287970553","229590.63120294473","commonmain-plain-win-exe","104718.8101","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185725.08","184796","3993.8883761087172","180081","196096","184618.03062281295","186832.12937718703","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3219.8567","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4770.3111","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224582.88","221360.5","9781.36204913848","216053","257257","221871.6247657989","227294.13523420112","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27622.8816","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201352.46","191725.5","24396.666088903818","179314","281799","194590.04917231534","208114.87082768464","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3219.8567","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4770.3111","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224198.02","220717","10733.538805319808","215411","273948","221222.83483445473","227173.20516554525","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27622.8816","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207826.08","190949.5","24181.812094993027","182205","245623","201123.2236610106","214528.93633898938","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3149.7083","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5143.5242","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253283.18","252290","16272.914976244472","225038","297890","248772.55809648515","257793.80190351483","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25053.3437","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230493.82","228176.5","14735.671299279453","211891","287987","226409.30030438586","234578.33969561415","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3149.7083","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5143.5242","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254437.46","253648","15861.164042531105","227569","292599","250040.9696324215","258833.95036757848","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25053.3437","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","True","False","ci-windows-large","System.Boolean[]","True","2026-09-07 02:06:08","cd54506f6a9263fe2bf4e6d14bac5f8df371c4c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.45","High performance","0.76","129","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
