"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Native","Common","JS","Reference","FlushEarly","InstrumentPropertyAccessors","CILabel","Methods","Dedicated","JVM","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"97805.76","96597.5","6426.131557816673","88673","117546","96024.52720907901","99586.99279092098","commonmain-plain-jar","1383.9801","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4312.1415","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84325.8","83971.5","1825.4146076428553","80466","92201","83819.82088536384","84831.77911463617","commonmain-plain-linux-exe","11253.764","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"95100.96","94153","3161.6461739068136","89756","104161","94224.59639188145","95977.32360811856","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2217.6441","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2773.0908","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"85262.44","84283","3511.0047353184486","80568","95951","84289.23913920828","86235.64086079173","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","11674.7697","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"94827.62","93750.5","4754.270732677288","88809","113223","93509.80338672824","96145.43661327176","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2217.6441","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","2773.0908","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"84094.52","83561","2665.6719047312386","81513","96804","83355.63344534047","84833.40655465954","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","11674.7697","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"94580.98","94163.5","3197.590799017158","89382","103351","93694.65305012166","95467.30694987833","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4775.7782","50","False","500","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.String[]","False","True","System.Boolean[]","2026-09-07 03:33:31","1cd983680d31fa736bef085c1c2f3e50dc2577f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) 6973P-C","2","4","15.61","14.01","145","83","0.04","171","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
