"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","TestKIR","Enabled","JVM","JS","CILabel","Native","FlushEarly","Methods","InstrumentPropertyAccessors","Reference","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"191888.44","188521.5","14179.921156569613","182622","280055","187957.96638465163","195818.91361534837","commonmain-plain-jar","2741.2836","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8079.5207","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223389.96","221425.5","5635.43328272828","216688","240697","221827.89758905652","224952.02241094346","commonmain-plain-win-exe","98962.4482","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193162.76","189515.5","14460.746334593847","183460","260862","189154.44561666975","197171.07438333027","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3417.2779","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4633.9492","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224401.46","220406.5","15558.300967270277","215949","322947","220088.91899386237","228714.0010061376","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27135.5502","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190257.34","189267","5812.578263190465","182957","220782","188646.17550561682","191868.50449438317","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3417.2779","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4633.9492","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222467.4","220095.5","6977.5608363159245","216821","258069","220533.31881126773","224401.48118873226","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27135.5502","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196551.28","192389.5","12490.362407186476","182688","232080","193089.12817662116","200013.43182337884","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5272.8593","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
