"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Reference","FlushEarly","Dedicated","JVM","CILabel","Enabled","Common","InstrumentPropertyAccessors","Methods","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157828.9","154702","16685.906441224764","146306","260985","153203.80270282493","162453.99729717505","commonmain-plain-jar","2208.0849","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6277.9219","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138121.48","136541","7809.991879166909","132364","186519","135956.66069824187","140286.29930175815","commonmain-plain-linux-exe","15896.7403","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153425.98","152867","4999.408293518956","143779","166932","152040.21472154313","154811.7452784569","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2183.6178","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3954.5115","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138057.18","138111","3487.5400762235413","129420","146629","137090.48321087746","139023.87678912253","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20732.4855","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151582.12","152019.5","3951.1114718338617","142010","159292","150486.92777573658","152677.3122242634","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2183.6178","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3954.5115","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136776.28","136377.5","2667.5788383430227","132095","144249","136036.8648703107","137515.6951296893","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20732.4855","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152955.38","153224.5","5130.432423553891","143141","169007","151533.2966856112","154377.46331438882","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2602.397","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4599.3521","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138238.96","137664.5","4040.011345508418","133320","159016","137119.12598795598","139358.794012044","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17062.9115","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153238.12","151808","5178.798007417616","145186","165040","151802.63042973937","154673.60957026063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2602.397","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4599.3521","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138292.36","137760","3910.00830814922","132539","155971","137208.56099143828","139376.1590085617","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17062.9115","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153217.58","153004.5","5131.291515390484","141743","164660","151795.25855750317","154639.9014424968","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1873.8875","50","False","500","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","2026-09-08 03:38:01","78569179f7e26b5400fe4f8a5744b1e9fa3bda71","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.03","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
