"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","Enabled","Dedicated","JS","Native","InstrumentPropertyAccessors","Common","JVM","CILabel","Methods","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"263639.94","260182.5","17187.7432532367","233665","303763","258875.74063539846","268404.1393646015","commonmain-plain-jar","2630.7353","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7051.8569","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237983.54","234202","29016.937246226185","216935","433284","229940.45534634017","246026.62465365985","commonmain-plain-win-exe","97545.1883","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"269627.26","266894","17964.213118637752","243716","336449","264647.83416937134","274606.6858306287","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2851.4468","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4445.1447","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230027.22","230622","9749.570965526467","210812","248250","227324.77680459377","232729.66319540623","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24338.1437","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"264472.02","263903","11175.923570455065","242433","296658","261374.212033665","267569.82796633505","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2851.4468","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4445.1447","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229878.34","229662","5377.2249485535685","217069","243090","228387.84928776562","231368.83071223437","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24338.1437","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259671.4","258956","6259.012554969459","244248","274750","257936.49023330896","261406.30976669103","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4638.6399","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5622.5864","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231922.1","229260.5","10451.900146062693","218894","266711","229024.9810879303","234819.21891206971","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","32489.8695","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"260435.3","260649.5","6389.490801627437","245735","272617","258664.22350852934","262206.37649147067","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4638.6399","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
