"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","FlushEarly","TestKIR","Dedicated","JS","Enabled","Native","Reference","InstrumentPropertyAccessors","JVM","Methods","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157719.26","157004","6305.749578547101","147335","183400","155971.3953913177","159467.12460868232","commonmain-plain-jar","2149.4539","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6567.247","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143517.9","138987","31594.455166619195","133686","361091","134760.36382948537","152275.43617051461","commonmain-plain-linux-exe","16992.257","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154220.26","153484.5","4948.335629527264","144853","165579","152848.65134174353","155591.86865825648","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2251.9652","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4005.5182","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138037.96","137860.5","2525.0736255986435","132732","145041","137338.0453000068","138737.87469999318","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36097.3364","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155647.66","155835","4627.313553107841","147741","168297","154365.03412150504","156930.28587849496","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2251.9652","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4005.5182","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138388.76","138560.5","2668.1287990206297","132567","144952","137649.1924289883","139128.32757101173","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36097.3364","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154582.66","153634.5","5724.919101504886","143025","168517","152995.79338557995","156169.52661442006","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2247.5472","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3593.9932","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137964.54","137534","3861.825830260254","132457","151779","136894.09649292336","139034.98350707666","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17449.0773","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153531.54","154271.5","3959.695356298749","142301","159751","152433.96844435428","154629.11155564574","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2247.5472","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3593.9932","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137668.22","137337.5","2963.421666084733","130907","145488","136846.80142220337","138489.63857779664","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17449.0773","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
