"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Methods","CILabel","Enabled","Reference","TestKIR","Common","InstrumentPropertyAccessors","FlushEarly","Dedicated","Native","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"158260.26","154804","11735.400838888621","146463","220007","155007.3728468568","161513.14715314322","commonmain-plain-jar","2003.527","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6507.6856","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138873.54","138135","3282.1595628985697","133050","150997","137963.77178472615","139783.30821527386","commonmain-plain-linux-exe","17625.2644","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156234.34","156239.5","5499.6590083905585","146168","169310","154709.91229781372","157758.76770218628","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2640.8181","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4218.6887","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138980.7","138751.5","2520.434253562392","133853","147362","138282.0712683263","139679.3287316737","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16572.7772","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155721.42","155108.5","5699.570596392793","145103","170177","154141.57963272417","157301.26036727586","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2640.8181","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4218.6887","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139232.46","139206","2272.9161006091185","134697","144984","138602.43979997895","139862.48020002103","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16572.7772","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156283.2","156820.5","4661.810316665772","146181","166625","154991.01210649227","157575.38789350775","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1600.7362","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
