"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Dedicated","Reference","Enabled","Common","CILabel","JVM","TestKIR","InstrumentPropertyAccessors","Methods","JS","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"194007.02","191782","7108.785821554528","185910","218115","192036.56510111378","195977.4748988862","commonmain-plain-jar","2740.7135","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7884.8936","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229710.82","225898.5","9008.080818252201","220554","256061","227213.90738743148","232207.73261256854","commonmain-plain-win-exe","92205.4459","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202401.72","197862","13600.562952094208","186617","241752","198631.8362857789","206171.6037142211","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3565.1239","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5843.6474","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227559.92","225848","6872.439651897978","218056","244497","225654.9769169883","229464.86308301173","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28091.9863","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199103.84","193369","14430.422146313542","183097","236041","195103.9310528232","203103.7489471768","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3565.1239","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5843.6474","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249308.3","247875","12392.375798391988","229561","285271","245873.30867887443","252743.29132112555","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28091.9863","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204157.56","194901","17127.026301284703","182750","241890","199410.19051583408","208904.9294841659","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3645.536","50","False","500","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","2026-09-11 02:16:00","1350a29553876c1a567efbd7fdeced8ed5f31016","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.72","High performance","0.07","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
