"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Reference","JS","Dedicated","Methods","InstrumentPropertyAccessors","Common","JVM","TestKIR","FlushEarly","Native","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"159592.5","156762","10118.320083705918","146196","202036","156787.84476380143","162397.15523619857","commonmain-plain-jar","2248.7202","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6958.0513","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138975.9","138742.5","3001.604103454943","133339","147539","138143.89779053177","139807.90220946822","commonmain-plain-linux-exe","18913.435","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156558.74","155361","6364.922683564593","143987","174140","154794.47344341956","158323.00655658043","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2683.932","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4167.1952","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137787.62","137451.5","2435.2823822350642","133777","142969","137112.59416285963","138462.64583714036","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19036.832","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153281.88","151854.5","4856.648943963107","145674","164700","151935.68559436942","154628.07440563058","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2683.932","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4167.1952","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138236.1","137646.5","2828.565355332585","130613","143812","137452.06168443628","139020.13831556373","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","19036.832","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155373.76","155103","4703.721182386628","145384","169565","154069.95500720845","156677.56499279157","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2301.6664","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3724.5844","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144349.34","140906","8705.541607387744","133972","175516","141936.28697824167","146762.39302175833","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16739.5836","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156117.2","156721","5817.275430007713","145809","167464","154504.7335174014","157729.66648259864","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2301.6664","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3724.5844","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138714.42","138771","2424.00746016566","133774","144504","138042.5194118099","139386.32058819014","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16739.5836","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155877.4","154649","4953.041514554259","147010","167681","154504.4869369636","157250.3130630364","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2061.7714","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3056.2872","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139181.7","138044.5","6543.13818563589","133184","182108","137368.03462652894","140995.36537347108","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15286.097","50","False","500","ci-linux-large","True","True","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-09-11 03:39:13","3101a23a3d51d1983678545a08cd1f9cbe59b1ae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
