"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","Reference","Native","InstrumentPropertyAccessors","TestKIR","CILabel","Enabled","FlushEarly","Common","JVM","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"118477.02","113498","16799.486715300292","105260","209147","113820.43985707787","123133.60014292214","commonmain-plain-jar","2602.4508","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8246.4918","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"148532.16","147403","4983.398280576934","141885","174700","147150.83247072066","149913.48752927934","commonmain-plain-win-exe","109474.8728","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"117652.64","114630.5","10749.02156488901","107538","167425","114673.16323245584","120632.11676754415","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2416.6409","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3468.3085","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"153007.44","150698.5","7248.109980694615","142846","181243","150998.36641449106","155016.51358550895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","18102.0158","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"118302.1","117508","6442.23331237083","103662","140691","116516.40403042399","120087.79596957602","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2416.6409","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3468.3085","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"162267.92","162026","8184.607982683354","147498","184820","159999.2624120837","164536.5775879163","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","18102.0158","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"153175.4","161865","34136.50606680449","107046","270880","143713.24326906554","162637.55673093445","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2422.9217","50","False","500","True","False","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-09-12 02:25:10","32db7ebf4d3b6df01048ad1ad6f67593c4e0a38b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V45 96-Core Processor","2","4","2596","15.99","12.73","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.85","High performance","0.23","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
