"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","FlushEarly","Reference","CILabel","Native","JVM","Methods","Enabled","Common","TestKIR","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"155911.14","155696.5","6970.258332723254","142781","187315","153979.0829619933","157843.19703800674","commonmain-plain-jar","2081.4274","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6493.2675","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137907.8","137270.5","2689.075062893848","132798","145193","137162.42642085996","138653.17357914","commonmain-plain-linux-exe","17990.5841","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155045.8","154935","5142.077754434784","145446","168906","153620.48876457664","156471.11123542333","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2419.119","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4042.7474","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137756.82","137434.5","2560.435252300767","133710","146010","137047.10355716114","138466.53644283887","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17060.1553","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154645.2","154915.5","4516.676094073551","145492","166846","153393.24126053933","155897.1587394607","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2419.119","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4042.7474","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138207.3","138254","2463.2360932359707","133080","144863","137524.52578948525","138890.07421051472","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","17060.1553","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154941.94","154136","4703.72520373426","147986","166324","153638.13389254778","156245.74610745223","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1714.8494","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
