"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","TestKIR","JS","CILabel","Common","Methods","JVM","FlushEarly","Native","Dedicated","Enabled","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"251474.5","240672.5","28594.69501266532","230156","412463","243548.45492222862","259400.54507777138","commonmain-plain-jar","2533.2531","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7146.3295","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216631.84","216996","4515.897855716547","207282","225938","215380.0969772062","217883.58302279378","commonmain-plain-win-exe","84878.2605","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250451.14","239761.5","32246.619178595894","227352","375930","241512.83318812208","259389.44681187795","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3537.8151","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4014.9667","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217705.36","215866","11415.833769079914","203109","246953","214541.05231936218","220869.6676806378","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23436.5896","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245827.18","245099","7322.910653307641","232824","266162","243797.37272585699","247856.987274143","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3537.8151","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4014.9667","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214562.54","212917.5","8388.301837848776","202018","236190","212237.42135602448","216887.65864397553","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","23436.5896","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255319.3","250011","23691.485473236404","233575","344354","248752.35526647285","261886.24473352713","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2484.6465","50","False","500","System.Boolean[]","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","2026-09-13 02:20:02","e537ff3b07440fd9062335be1a295a195f5f9129","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.84","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
