"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Enabled","Native","Reference","JVM","FlushEarly","Dedicated","TestKIR","JS","Common","CILabel","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"216016.72","190147.5","51973.28403467085","183182","427636","201610.4606600715","230422.9793399285","commonmain-plain-jar","2917.8151","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8146.6333","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223795.22","222635.5","4253.837323055551","219076","240101","222616.11645085877","224974.32354914123","commonmain-plain-win-exe","103742.0121","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191149","190620","6661.852975053149","182802","218110","189302.4285657403","192995.5714342597","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3629.3289","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4906.3893","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239263.92","229677.5","23357.710013070497","217684","296619","232789.49310385343","245738.3468961466","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25324.4498","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189312.12","188739.5","3879.9602388032117","183579","199362","188236.64989132795","190387.59010867204","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3629.3289","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4906.3893","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223766.42","221102.5","7203.652041733231","217115","256324","221769.669526457","225763.17047354302","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25324.4498","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190924.38","188730.5","6690.757017326063","183713","219370","189069.7967739767","192778.9632260233","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4020.0906","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","False","System.Boolean[]","True","True","ci-windows-large","System.String[]","2026-09-14 02:37:42","8191da12e5a528d57d788a40a12622c985f9c181","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.53","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.71","High performance","0.08","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
